source,external_id,external_url,first_name,last_name,display_name,country_code,gender,category,club_name,club_country_code,ranking_value,rank,ranked_at,confidence_level,total_players
ITTF,115063,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=115063,Simon,Berglund,Simon Berglund,SE,M,SENIOR,,,56,271,2026-05-12,HIGH,
ITTF,131484,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=131484,Amir Hossein,Hodaei,Amir Hossein Hodaei,IR,M,SENIOR,,,56,272,2026-05-12,HIGH,
ITTF,106344,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=106344,Jerome,Morisseau,Jerome Morisseau,NC,M,SENIOR,,,55,273,2026-05-12,HIGH,
ITTF,114457,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=114457,Saheed,Idowu,Saheed Idowu,CG,M,SENIOR,,,55,274,2026-05-12,HIGH,
ITTF,131478,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=131478,Chetan,Nathoo,Chetan Nathoo,ZA,M,SENIOR,,,55,275,2026-05-12,HIGH,
ITTF,121740,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=121740,Tyrese,Knight,Tyrese Knight,BB,M,SENIOR,,,55,276,2026-05-12,HIGH,
ITTF,111115,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=111115,Marcelo,Aguirre,Marcelo Aguirre,PY,M,SENIOR,,,55,277,2026-05-12,HIGH,
ITTF,145043,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=145043,Hsien-Chia,Hsu,Hsien-Chia Hsu,TW,M,SENIOR,,,55,278,2026-05-12,HIGH,
ITTF,202414,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=202414,Thitaphat,Preechayan,Thitaphat Preechayan,TH,M,SENIOR,,,54,279,2026-05-12,HIGH,
ITTF,119092,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=119092,Irvin,Bertrand,Irvin Bertrand,FR,M,SENIOR,,,53,280,2026-05-12,HIGH,
ITTF,137817,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=137817,Dmitrii,Vinogradov,Dmitrii Vinogradov,XX,M,SENIOR,,,51,281,2026-05-12,HIGH,
ITTF,135627,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=135627,Hayate,Suzuki,Hayate Suzuki,JP,M,SENIOR,,,51,282,2026-05-12,HIGH,
ITTF,134398,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=134398,Iskender,Kharki,Iskender Kharki,KZ,M,SENIOR,,,51,283,2026-05-12,HIGH,
ITTF,114956,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=114956,Sougata,Sarkar,Sougata Sarkar,IN,M,SENIOR,,,50,284,2026-05-12,HIGH,
ITTF,135919,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=135919,Beixun,Zeng,Beixun Zeng,CN,M,SENIOR,,,50,285,2026-05-12,HIGH,
ITTF,205967,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=205967,Che-Yen,Hung,Che-Yen Hung,TW,M,SENIOR,,,50,286,2026-05-12,HIGH,
ITTF,116641,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=116641,Romain,Ruiz,Romain Ruiz,FR,M,SENIOR,,,49,287,2026-05-12,HIGH,
ITTF,146212,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=146212,Elias,Agbodjan,Elias Agbodjan,TG,M,SENIOR,,,49,288,2026-05-12,HIGH,
ITTF,112035,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=112035,Nima,Alamian,Nima Alamian,IR,M,SENIOR,,,49,289,2026-05-12,HIGH,
ITTF,200310,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=200310,Muizz,Adegoke,Muizz Adegoke,NG,M,SENIOR,,,49,290,2026-05-12,HIGH,
ITTF,122078,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=122078,Tommaso,Giovannetti,Tommaso Giovannetti,IT,M,SENIOR,,,49,291,2026-05-12,HIGH,
ITTF,203210,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=203210,Yassine,Theophile,Yassine Theophile,MA,M,SENIOR,,,48,292,2026-05-12,HIGH,
ITTF,119042,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=119042,Anirban,Ghosh,Anirban Ghosh,IN,M,SENIOR,,,48,293,2026-05-12,HIGH,
ITTF,136097,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=136097,Remi,Chambet-Weil,Remi Chambet-Weil,NL,M,SENIOR,,,48,294,2026-05-12,HIGH,
ITTF,120285,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=120285,Carlo,Rossi,Carlo Rossi,IT,M,SENIOR,,,48,295,2026-05-12,HIGH,
ITTF,134486,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=134486,Ved,Sheth,Ved Sheth,US,M,SENIOR,,,47,296,2026-05-12,HIGH,
ITTF,136567,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=136567,Benno,Oehme,Benno Oehme,DE,M,SENIOR,,,47,297,2026-05-12,HIGH,
ITTF,144488,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=144488,Ellsworth,Le,Ellsworth Le,SG,M,SENIOR,,,47,298,2026-05-12,HIGH,
ITTF,146306,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=146306,Steven,Moreno,Steven Moreno,PR,M,SENIOR,,,47,299,2026-05-12,HIGH,
ITTF,122043,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=122043,Martin,Friis,Martin Friis,SE,M,SENIOR,,,46,300,2026-05-12,HIGH,
ITTF,120845,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=120845,Dongsoo,Kang,Dongsoo Kang,KR,M,SENIOR,,,46,301,2026-05-12,HIGH,
ITTF,146241,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=146241,Antoine,Noirault,Antoine Noirault,FR,M,SENIOR,,,46,302,2026-05-12,HIGH,
ITTF,115100,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=115100,Alexander,Valuch,Alexander Valuch,SK,M,SENIOR,,,46,303,2026-05-12,HIGH,
ITTF,146307,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=146307,Enrique,Rios,Enrique Rios,PR,M,SENIOR,,,46,304,2026-05-12,HIGH,
ITTF,111033,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=111033,Kenji,Matsudaira,Kenji Matsudaira,JP,M,SENIOR,,,45,305,2026-05-12,HIGH,
ITTF,117345,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=117345,Kai,Zhou,Kai Zhou,CN,M,SENIOR,,,45,306,2026-05-12,HIGH,
ITTF,109669,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=109669,Angelo,Utia,Angelo Utia,PF,M,SENIOR,,,45,307,2026-05-12,HIGH,
ITTF,135693,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=135693,Joshua,Yee,Joshua Yee,FJ,M,SENIOR,,,45,308,2026-05-12,HIGH,
ITTF,134186,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=134186,Yashansh,Malik,Yashansh Malik,IN,M,SENIOR,,,45,309,2026-05-12,HIGH,
ITTF,206277,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=206277,Olivier,Clouet,Olivier Clouet,NC,M,SENIOR,,,45,310,2026-05-12,HIGH,
ITTF,134573,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=134573,Ondrej,Kveton,Ondrej Kveton,CZ,M,SENIOR,,,44,311,2026-05-12,HIGH,
ITTF,205937,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=205937,Reda,Nemras,Reda Nemras,MA,M,SENIOR,,,44,312,2026-05-12,HIGH,
ITTF,136399,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=136399,Mael,Van Dessel,Mael Van Dessel,LU,M,SENIOR,,,44,313,2026-05-12,HIGH,
ITTF,131722,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=131722,Norbert,Tauler,Norbert Tauler,ES,M,SENIOR,,,44,314,2026-05-12,HIGH,
ITTF,200361,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=200361,Carlos,Rios,Carlos Rios,VE,M,SENIOR,,,44,315,2026-05-12,HIGH,
ITTF,123514,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=123514,Georgios,Stamatouros,Georgios Stamatouros,GR,M,SENIOR,,,43,316,2026-05-12,HIGH,
ITTF,144748,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=144748,Tey,Hong Yu,Tey Hong Yu,MY,M,SENIOR,,,43,317,2026-05-12,HIGH,
ITTF,134868,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=134868,Divyansh,Srivastava,Divyansh Srivastava,IN,M,SENIOR,,,43,318,2026-05-12,HIGH,
ITTF,145782,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=145782,Mykhailo,Lovha,Mykhailo Lovha,SK,M,SENIOR,,,43,319,2026-05-12,HIGH,
ITTF,136520,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=136520,Abdoulaye,Mohamed,Abdoulaye Mohamed,CM,M,SENIOR,,,42,320,2026-05-12,HIGH,
ITTF,102441,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=102441,Simon,Ebode,Simon Ebode,CM,M,SENIOR,,,42,321,2026-05-12,HIGH,
ITTF,134805,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=134805,Xuqi,Lin,Xuqi Lin,AU,M,SENIOR,,,41,322,2026-05-12,HIGH,
ITTF,134817,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=134817,Tom,Closset,Tom Closset,BE,M,SENIOR,,,41,323,2026-05-12,HIGH,
ITTF,115439,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=115439,Yuto,Muramatsu,Yuto Muramatsu,JP,M,SENIOR,,,40,324,2026-05-12,HIGH,
